Id,Année,Campagne,Date,Période BACI,Saison,Site,Client,Utilise analyse,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_T04,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_03_2015_REF_T01,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_03_2015_REF_T02,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_03_2015_REF_T03,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_03_2015_REF_T04,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_EXTERIEUR_5_T01,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_EXTERIEUR_9_T01,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_INTERIEUR_5_T01,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_INTERIEUR_9_T01,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_T01,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_T02,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_T03,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_T04,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2014_REF_T01,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2014_REF_T02,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2014_REF_T03,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2014_REF_T04,2014,A_2014,23/09/2014,Before,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_Q01,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_Q02,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_Q03,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_Q04,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_Q05,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T01,2007,S_2007,30/04/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T03,2007,S_2007,30/04/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T05,2007,S_2007,30/04/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T07,2007,S_2007,30/04/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD01_T09,2007,S_2007,30/04/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_Q01,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_Q02,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_Q03,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_Q04,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_Q05,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T01,2007,S_2007,4/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T03,2007,S_2007,4/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T05,2007,S_2007,4/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T07,2007,S_2007,4/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_IRD37_T09,2007,S_2007,4/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_Q01,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_Q02,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_Q03,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_Q04,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_Q05,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T01,2007,S_2007,3/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T03,2007,S_2007,3/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T05,2007,S_2007,3/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T07,2007,S_2007,3/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS04_T09,2007,S_2007,3/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_Q01,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_Q02,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_Q03,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_Q04,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_Q05,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T01,2007,S_2007,8/05/2007,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T03,2007,S_2007,8/05/2007,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T05,2007,S_2007,8/05/2007,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T07,2007,S_2007,8/05/2007,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS05_T09,2007,S_2007,8/05/2007,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_Q01,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_Q02,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_Q03,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_Q04,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_Q05,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T01,2007,S_2007,31/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T03,2007,S_2007,31/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T05,2007,S_2007,31/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T07,2007,S_2007,31/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_KNS06_T09,2007,S_2007,31/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T01,2007,S_2007,9/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T03,2007,S_2007,9/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T05,2007,S_2007,9/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T07,2007,S_2007,9/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG1B_T09,2007,S_2007,9/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_Q01,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_Q02,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_Q03,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_Q04,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_Q05,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T01,2007,S_2007,1/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T03,2007,S_2007,1/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T05,2007,S_2007,1/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T07,2007,S_2007,1/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_LG6B_T09,2007,S_2007,1/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_Q01,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_Q02,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_Q03,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_Q04,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_Q05,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T01,2007,S_2007,7/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T03,2007,S_2007,7/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T05,2007,S_2007,7/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T07,2007,S_2007,7/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF2C_T09,2007,S_2007,7/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_Q01,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_Q02,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_Q03,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_Q04,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_Q05,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T01,2007,S_2007,5/06/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T03,2007,S_2007,5/06/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T05,2007,S_2007,5/06/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T07,2007,S_2007,5/06/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_OF4C_T09,2007,S_2007,5/06/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_Q01,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_Q02,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_Q03,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_Q04,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_Q05,2007,S_2007,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T01,2007,S_2007,2/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T03,2007,S_2007,2/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T05,2007,S_2007,2/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T07,2007,S_2007,2/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2007_PV3B_T09,2007,S_2007,2/05/2007,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_Q01,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_Q02,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_Q03,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_Q04,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_Q05,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T01,2008,S_2008,3/06/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T03,2008,S_2008,3/06/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T05,2008,S_2008,3/06/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T07,2008,S_2008,3/06/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_CLC2_T09,2008,S_2008,3/06/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_Q01,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_Q02,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_Q03,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_Q04,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_Q05,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T01,2008,S_2008,19/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T03,2008,S_2008,19/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T05,2008,S_2008,19/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T07,2008,S_2008,19/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IBR2B_T09,2008,S_2008,19/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_Q01,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_Q02,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_Q03,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_Q04,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_Q05,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T01,2008,S_2008,12/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T03,2008,S_2008,12/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T05,2008,S_2008,12/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T07,2008,S_2008,12/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD01_T09,2008,S_2008,12/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_Q01,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_Q02,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_Q03,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_Q04,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_Q05,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T01,2008,S_2008,16/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T03,2008,S_2008,16/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T05,2008,S_2008,16/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T07,2008,S_2008,16/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD23_T09,2008,S_2008,16/05/2008,,Chaude,KONIAMBO,KNS,Non,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_Q01,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_Q02,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_Q03,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_Q04,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_Q05,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T01,2008,S_2008,8/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T03,2008,S_2008,8/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T05,2008,S_2008,8/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T07,2008,S_2008,8/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD24_T09,2008,S_2008,8/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_Q01,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_Q02,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_Q03,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_Q04,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_Q05,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T01,2008,S_2008,9/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T03,2008,S_2008,9/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T05,2008,S_2008,9/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T07,2008,S_2008,9/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD37_T09,2008,S_2008,9/05/2008,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_Q01,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_Q02,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_Q03,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_Q04,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
KNS_KONIAMBO_05_2008_IRD57_Q05,2008,S_2008,DDD,,Chaude,KONIAMBO,KNS,Oui,,,,,,,,,
